index_type,period,distance_km,pickup_km,index_value
INCTL,2011-12-01,800,,128.3244
INCTL,2011-12-01,2400,,301.178
INCTL,2011-12-01,6000,,681.6639
INCTL,2012-01-01,50,,43.7247
INCTL,2012-01-01,400,,82.4266
INCTL,2012-01-01,800,,128.5747
INCTL,2012-01-01,2400,,301.9827
INCTL,2012-01-01,6000,,683.7625
INCTL,2012-02-01,50,,43.731
INCTL,2012-02-01,400,,82.4186
INCTL,2012-02-01,800,,128.5506
INCTL,2012-02-01,2400,,301.8929
INCTL,2012-02-01,6000,,683.524
INCTL,2012-03-01,50,,44.089
INCTL,2012-03-01,400,,84.7174
INCTL,2012-03-01,800,,133.0668
INCTL,2012-03-01,2400,,315.2823
INCTL,2012-03-01,6000,,716.8807
INCTL,2012-04-01,50,,44.1247
INCTL,2012-04-01,400,,84.4857
INCTL,2012-04-01,800,,132.5399
INCTL,2012-04-01,2400,,313.5134
INCTL,2012-04-01,6000,,712.2711
INCTL,2012-05-01,50,,45.196
INCTL,2012-05-01,400,,86.3457
INCTL,2012-05-01,800,,135.3255
INCTL,2012-05-01,2400,,319.8606
INCTL,2012-05-01,6000,,726.5266
INCTL,2012-06-01,50,,45.3205
INCTL,2012-06-01,400,,86.5352
INCTL,2012-06-01,800,,135.607
INCTL,2012-06-01,2400,,320.4066
INCTL,2012-06-01,6000,,727.59
INCTL,2012-07-01,50,,45.6736
INCTL,2012-07-01,400,,87.2951
INCTL,2012-07-01,800,,136.8494
INCTL,2012-07-01,2400,,323.4766
INCTL,2012-07-01,6000,,734.6955
INCTL,2012-08-01,50,,45.9563
INCTL,2012-08-01,400,,87.6805
INCTL,2012-08-01,800,,137.3944
INCTL,2012-08-01,2400,,324.4132
INCTL,2012-08-01,6000,,736.3281
INCTL,2012-09-01,50,,46.2348
INCTL,2012-09-01,400,,88.0526
INCTL,2012-09-01,800,,137.9094
INCTL,2012-09-01,2400,,325.2903
INCTL,2012-09-01,6000,,737.8628
INCTL,2012-10-01,50,,46.3986
INCTL,2012-10-01,400,,88.4137
INCTL,2012-10-01,800,,138.519
INCTL,2012-10-01,2400,,326.7602
INCTL,2012-10-01,6000,,741.1677
INCTL,2012-11-01,50,,46.4665
INCTL,2012-11-01,400,,88.6735
INCTL,2012-11-01,800,,138.9982
INCTL,2012-11-01,2400,,328.1168
INCTL,2012-11-01,6000,,744.4986
INCTL,2012-12-01,50,,46.4928
INCTL,2012-12-01,400,,88.7209
INCTL,2012-12-01,800,,139.073
INCTL,2012-12-01,2400,,328.2818
INCTL,2012-12-01,6000,,744.8521
INCTL,2013-01-01,50,,46.6629
INCTL,2013-01-01,400,,89.2428
INCTL,2013-01-01,800,,140.0123
INCTL,2013-01-01,2400,,330.8009
INCTL,2013-01-01,6000,,750.8577
INCTL,2013-02-01,50,,46.887
INCTL,2013-02-01,400,,90.0819
INCTL,2013-02-01,800,,141.5699
INCTL,2013-02-01,2400,,335.1409
INCTL,2013-02-01,6000,,761.3904
INCTL,2013-03-01,50,,46.9776
INCTL,2013-03-01,400,,90.719
INCTL,2013-03-01,800,,142.8334
INCTL,2013-03-01,2400,,338.8991
INCTL,2013-03-01,6000,,770.7532
INCTL,2013-04-01,50,,47.0136
INCTL,2013-04-01,400,,90.899
INCTL,2013-04-01,800,,143.1807
INCTL,2013-04-01,2400,,339.9007
INCTL,2013-04-01,6000,,773.2156
INCTL,2013-05-01,50,,48.0053
INCTL,2013-05-01,400,,92.5543
INCTL,2013-05-01,800,,145.5944
INCTL,2013-05-01,2400,,345.3478
INCTL,2013-05-01,6000,,785.488
INCTL,2013-06-01,50,,48.0117
INCTL,2013-06-01,400,,92.5956
INCTL,2013-06-01,800,,145.6756
INCTL,2013-06-01,2400,,345.5878
INCTL,2013-06-01,6000,,786.0843
INCTL,2013-07-01,50,,48.4199
INCTL,2013-07-01,400,,93.0368
INCTL,2013-07-01,800,,146.1726
INCTL,2013-07-01,2400,,346.2025
INCTL,2013-07-01,6000,,786.8847
INCTL,2013-08-01,50,,48.5103
INCTL,2013-08-01,400,,93.1966
INCTL,2013-08-01,800,,146.4161
INCTL,2013-08-01,2400,,346.7556
INCTL,2013-08-01,6000,,788.1156
INCTL,2013-09-01,50,,48.7249
INCTL,2013-09-01,400,,93.5104
INCTL,2013-09-01,800,,146.8559
INCTL,2013-09-01,2400,,347.6264
INCTL,2013-09-01,6000,,789.9015
INCTL,2013-10-01,50,,49.0339
INCTL,2013-10-01,400,,93.9013
INCTL,2013-10-01,800,,147.3812
INCTL,2013-10-01,2400,,348.4504
INCTL,2013-10-01,6000,,791.2178
INCTL,2013-11-01,50,,49.1635
INCTL,2013-11-01,400,,94.0644
INCTL,2013-11-01,800,,147.5985
INCTL,2013-11-01,2400,,348.7925
INCTL,2013-11-01,6000,,791.7727
INCTL,2013-12-01,50,,49.3271
INCTL,2013-12-01,400,,95.1336
INCTL,2013-12-01,800,,149.7052
INCTL,2013-12-01,2400,,355.0339
INCTL,2013-12-01,6000,,807.3054
INCTL,2014-01-01,50,,49.9804
INCTL,2014-01-01,400,,96.592
INCTL,2014-01-01,800,,152.1011
INCTL,2014-01-01,2400,,361.0787
INCTL,2014-01-01,6000,,821.4843
INCTL,2014-02-01,50,,49.7371
INCTL,2014-02-01,400,,96.0752
INCTL,2014-02-01,800,,151.2968
INCTL,2014-02-01,2400,,358.9781
INCTL,2014-02-01,6000,,816.3572
INCTL,2014-03-01,50,,49.9467
INCTL,2014-03-01,400,,96.1951
INCTL,2014-03-01,800,,151.3367
INCTL,2014-03-01,2400,,358.566
INCTL,2014-03-01,6000,,814.8291
INCTL,2014-04-01,50,,50.2812
INCTL,2014-04-01,400,,96.6248
INCTL,2014-04-01,800,,151.9189
INCTL,2014-04-01,2400,,359.5036
INCTL,2014-04-01,6000,,816.3753
INCTL,2014-05-01,50,,51.2066
INCTL,2014-05-01,400,,98.1012
INCTL,2014-05-01,800,,154.0314
INCTL,2014-05-01,2400,,364.1234
INCTL,2014-05-01,6000,,826.6089
INCTL,2014-06-01,50,,51.0529
INCTL,2014-06-01,400,,97.9731
INCTL,2014-06-01,800,,153.9042
INCTL,2014-06-01,2400,,364.1653
INCTL,2014-06-01,6000,,827.1548
INCTL,2014-07-01,50,,50.8606
INCTL,2014-07-01,400,,97.7435
INCTL,2014-07-01,800,,153.6041
INCTL,2014-07-01,2400,,363.7456
INCTL,2014-07-01,6000,,826.5886
INCTL,2014-08-01,50,,50.9528
INCTL,2014-08-01,400,,97.7627
INCTL,2014-08-01,800,,153.5168
INCTL,2014-08-01,2400,,363.3668
INCTL,2014-08-01,6000,,825.6544
INCTL,2014-09-01,50,,50.9055
INCTL,2014-09-01,400,,97.6566
INCTL,2014-09-01,800,,153.3445
INCTL,2014-09-01,2400,,362.9243
INCTL,2014-09-01,6000,,824.6001
INCTL,2014-10-01,50,,51.2093
INCTL,2014-10-01,400,,98.3782
INCTL,2014-10-01,800,,154.5394
INCTL,2014-10-01,2400,,366.0362
INCTL,2014-10-01,6000,,832.0431
INCTL,2014-11-01,50,,51.6065
INCTL,2014-11-01,400,,99.638
INCTL,2014-11-01,800,,156.8015
INCTL,2014-11-01,2400,,372.2115
INCTL,2014-11-01,6000,,846.9511
INCTL,2014-12-01,50,,51.956
INCTL,2014-12-01,400,,100.1965
INCTL,2014-12-01,800,,157.6317
INCTL,2014-12-01,2400,,373.9377
INCTL,2014-12-01,6000,,850.5502
INCTL,2015-01-01,50,,52.0653
INCTL,2015-01-01,400,,100.4076
INCTL,2015-01-01,800,,157.9659
INCTL,2015-01-01,2400,,374.7242
INCTL,2015-01-01,6000,,852.3242
INCTL,2015-02-01,50,,52.4848
INCTL,2015-02-01,400,,102.2624
INCTL,2015-02-01,800,,161.4664
INCTL,2015-02-01,2400,,384.7766
INCTL,2015-02-01,6000,,877.0949
INCTL,2015-03-01,50,,52.6926
INCTL,2015-03-01,400,,102.6068
INCTL,2015-03-01,800,,161.9765
INCTL,2015-03-01,2400,,385.8936
INCTL,2015-03-01,6000,,879.5362
INCTL,2015-06-01,50,,54.27
INCTL,2015-06-01,400,,104.9685
INCTL,2015-06-01,800,,165.2938
INCTL,2015-06-01,2400,,392.687
INCTL,2015-06-01,6000,,893.8905
